timestamp,ambulance_id,request_id,latitude,longitude,speed_kmph,heading_deg,status
2026-08-10 23:09:26,AMB0055,REQ01551,13.055474,80.212103,42.3,135.0,EN_ROUTE_TO_PATIENT
2026-08-10 23:09:31,AMB0055,REQ01551,13.054501,80.210175,26.8,135.0,EN_ROUTE_TO_PATIENT
2026-08-10 23:09:35,AMB0055,REQ01551,13.052821,80.209331,22.6,135.0,EN_ROUTE_TO_PATIENT
2026-08-10 23:09:42,AMB0055,REQ01551,13.050672,80.207046,53.4,135.0,EN_ROUTE_TO_PATIENT
2026-08-10 23:09:47,AMB0055,REQ01551,13.049081,80.205525,21.0,135.0,EN_ROUTE_TO_PATIENT
2026-08-10 23:09:55,AMB0055,REQ01551,13.047451,80.203121,42.8,135.0,EN_ROUTE_TO_PATIENT
2026-08-10 23:10:03,AMB0055,REQ01551,13.045025,80.202182,51.1,135.0,EN_ROUTE_TO_PATIENT
2026-08-10 23:10:07,AMB0055,REQ01551,13.043563,80.200033,49.1,135.0,EN_ROUTE_TO_PATIENT
2026-08-10 23:10:13,AMB0055,REQ01551,13.041763,80.19739,20.2,135.0,EN_ROUTE_TO_PATIENT
2026-08-10 23:10:19,AMB0055,REQ01551,13.039718,80.196382,33.6,135.0,EN_ROUTE_TO_PATIENT
2026-08-10 23:10:26,AMB0055,REQ01551,13.038035,80.193824,22.9,135.0,EN_ROUTE_TO_PATIENT
2026-08-10 23:11:53,AMB0055,REQ01551,13.038043,80.194681,34.1,135.0,EN_ROUTE_TO_HOSPITAL
2026-08-10 23:12:00,AMB0055,REQ01551,13.036864,80.192985,37.3,135.0,EN_ROUTE_TO_HOSPITAL
2026-08-10 23:12:07,AMB0055,REQ01551,13.036075,80.191976,25.5,135.0,EN_ROUTE_TO_HOSPITAL
2026-08-10 23:12:13,AMB0055,REQ01551,13.035745,80.191474,32.8,135.0,EN_ROUTE_TO_HOSPITAL
2026-08-10 23:12:21,AMB0055,REQ01551,13.034317,80.190925,53.5,135.0,EN_ROUTE_TO_HOSPITAL
2026-08-10 23:12:25,AMB0055,REQ01551,13.033232,80.189646,35.2,135.0,EN_ROUTE_TO_HOSPITAL
2026-08-10 23:12:30,AMB0055,REQ01551,13.031729,80.188446,44.1,135.0,EN_ROUTE_TO_HOSPITAL
2026-08-10 23:12:36,AMB0055,REQ01551,13.030496,80.187297,28.0,135.0,EN_ROUTE_TO_HOSPITAL
2026-08-10 23:12:41,AMB0055,REQ01551,13.029861,80.186175,32.7,135.0,EN_ROUTE_TO_HOSPITAL
